,premise,hypothesis,label,premise_count,hypothesis_count
135,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,0,0,0
136,"A man is leading a Clydesdale up a hay road, within a Old Country.",A woman in a gray business suit is drinking tea.,2,0,0
137,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man in a straw hat and overalls is walking with his horse up a country road.,1,0,0
138,A farmer fertilizing his garden with manure with a horse and wagon.,The man is fertilizering his garden.,0,0,0
139,A farmer fertilizing his garden with manure with a horse and wagon.,The man is on the city street with his horse and wagon.,2,0,0
140,A farmer fertilizing his garden with manure with a horse and wagon.,The man is in an open field with a horse and wagon.,1,0,0
141,A white horse is pulling a cart while a man stands and watches.,A horse is hauling goods.,1,0,0
142,A white horse is pulling a cart while a man stands and watches.,An animal is walking outside.,0,0,0
143,A white horse is pulling a cart while a man stands and watches.,A man is watching a horse race.,2,0,0
144,A small group of church-goers watch a choir practice.,A group watches a practice.,0,0,0
145,A small group of church-goers watch a choir practice.,A choir performs in front of packed crowd.,-1,0,0
146,A small group of church-goers watch a choir practice.,The pastor and elders watch the choir to make sure they are good.,1,0,0
147,A dog drops a red disc on a beach.,a dog catch the ball on a beach,2,0,0
148,A dog drops a red disc on a beach.,a dog drops a disc with a boy,1,0,0
149,A dog drops a red disc on a beach.,a dog drops a red disc,0,0,0
150,A man and a woman are walking on a street at the top of a hill.,A married couple walks atop a hill.,1,0,0
151,A man and a woman are walking on a street at the top of a hill.,A man and woman walk on a street.,0,0,0
152,A man and a woman are walking on a street at the top of a hill.,Two men play catch on a hill.,2,0,0
153,An elderly man is drinking orange juice at a cafe.,An elderly man is drinking apple juice at a bar.,2,0,0
154,An elderly man is drinking orange juice at a cafe.,An older gentleman is enjoying his orange juice at a new cafe.,1,0,0
155,An elderly man is drinking orange juice at a cafe.,An old man is enjoying a beverage at a cafe.,0,0,0
156,A couple holding hands walks down a street.,Two men hold hands while walking down the street.,1,0,0
157,A couple holding hands walks down a street.,There are people sitting on the side of the road.,2,0,0
158,A couple holding hands walks down a street.,People are holding hands and walking.,0,0,0
159,A couple walk through a white brick town.,People are walking outdoors.,0,0,0
160,A couple walk through a white brick town.,A man and woman walk in a brown brick city.,2,0,0
161,A couple walk through a white brick town.,A man and woman walk through a big city.,1,0,0
162,Children going home from school.,The children are at the library.,2,0,0
163,Children going home from school.,The school children head home.,0,0,0
164,Children going home from school.,The children are walking in the afternooon.,1,0,0
165,People listening to a choir in a Catholic church.,People are listening to a metal band.,2,0,0
166,People listening to a choir in a Catholic church.,Choir singing in mass.,0,0,0
167,People listening to a choir in a Catholic church.,People are in mass for a first communion,1,0,0
168,Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.,2,0,0
169,Bicyclists waiting at an intersection.,The bicyclists are outside.,0,0,0
170,Bicyclists waiting at an intersection.,Bicyclists waiting for a car to pass.,1,0,0
171,Bicyclists waiting at an intersection.,A person on a bike is waiting while the light is green.,1,0,0
172,Bicyclists waiting at an intersection.,The bicycles are on a road.,0,0,0
173,Bicyclists waiting at an intersection.,A person on a bike is near a street.,0,0,0
174,Bicyclists waiting at an intersection.,Bikers stop and wait for traffic at the intersection.,0,0,0
175,Bicyclists waiting at an intersection.,The bicyclists ride through the mall on their bikes.,2,0,0
176,Bicyclists waiting at an intersection.,Bicyclists waiting their turn to cross.,0,0,0
177,Bicyclists waiting at an intersection.,Bicyclists riding along a freeway.,2,0,0
178,Bicyclists waiting at an intersection.,The bicyclists are dead.,2,0,0
179,Bicyclists waiting at an intersection.,The bicyclists are riding to the book store.,1,0,0
180,Bicyclists waiting at an intersection.,The bicyclists are in a race.,1,0,0
181,Bicyclists waiting at an intersection.,The bicyclists are at home.,2,0,0
182,Bicyclists waiting at an intersection.,A group of bicyclists remain on the sidewalk at the intersection.,1,0,0
183,People waiting at a light on bikes.,A bunch of friends are on a boat,2,0,0
184,People waiting at a light on bikes.,People with bikes.,0,0,0
185,People waiting at a light on bikes.,There are people on bikes at a light,1,0,0
186,People waiting at a light on bikes.,The people are inside waiting.,2,0,0
187,People waiting at a light on bikes.,There are some people outside.,0,0,1
188,People waiting at a light on bikes.,People are on their bikes.,0,0,0
189,People waiting at a light on bikes.,The people are riding their bikes to the gym.,1,0,0
190,People waiting at a light on bikes.,People biking through the city.,1,0,0
191,People waiting at a light on bikes.,The people are on bikes.,0,0,0
192,People waiting at a light on bikes.,There is traffic next to the bikes.,1,0,0
193,People waiting at a light on bikes.,The people are running a red light.,2,0,0
194,People waiting at a light on bikes.,People in a car race.,2,0,0
195,People waiting at a light on bikes.,Men and women outside on a street corner.,0,0,0
196,People waiting at a light on bikes.,A ladybug has landed on a beautiful pink rose.,2,0,0
197,People waiting at a light on bikes.,"Men and women on their motorcycles, wearing helmets and protective jackets.",1,0,0
198,People on bicycles waiting at an intersection.,The people are on skateboards.,2,0,0
199,People on bicycles waiting at an intersection.,People are riding their bicycles.,0,0,0
200,People on bicycles waiting at an intersection.,There is a bike race happening right now.,1,0,0
201,People on bicycles waiting at an intersection.,People on bicycles enjoy a conversation waiting for traffic.,1,0,0
202,People on bicycles waiting at an intersection.,The people are trying to get to the convenience store across the street.,1,0,0
203,People on bicycles waiting at an intersection.,People wait on traffic.,0,0,0
204,People on bicycles waiting at an intersection.,Some people on bikes are stopped at a junction.,1,0,0
205,People on bicycles waiting at an intersection.,People are waiting on foot.,2,0,0
206,People on bicycles waiting at an intersection.,There are bicyclists stopped at a road.,0,0,0
207,People on bicycles waiting at an intersection.,The people are sleeping.,2,0,0
208,People on bicycles waiting at an intersection.,The people are waiting for the movie to begin.,2,0,0
209,People on bicycles waiting at an intersection.,More than one person on a bicycle is obeying traffic laws.,0,0,0
210,People on bicycles waiting at an intersection.,People are on mountain bikes.,1,0,0
211,People on bicycles waiting at an intersection.,There are people on bicycles.,0,0,1
212,People on bicycles waiting at an intersection.,People on bicycles speed through an intersection.,2,0,0
213,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is empty.,2,0,4
214,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is giving another man a piggyback ride.,2,0,0
215,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A cart is full of items.,0,0,0
216,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is sleeping under a bench.,2,0,0
217,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man watches another man.,0,0,0
218,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A produce vendor is watched by a health department worker.,1,0,0
219,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,"Someone is on top of a cart full of items, while someone else observes.",0,0,0
220,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The man is watching a woman.,2,0,0
221,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A merchant and his assistant are trying to determine how many products are in their cart.,1,0,0
222,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is full of coal.,1,0,0
223,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on top of a cart.,0,0,0
224,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The cart is filled to the top.,0,0,0
225,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,The men are outside.,1,0,0
226,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man eats octopus.,2,0,0
227,A man with a red shirt is watching another man who is standing on top of a attached cart filled to the top.,A man is standing on a cart full of groceries.,1,0,0
228,A boy is drinking out of a water fountain shaped like a woman.,A male is getting a drink of water.,0,0,0
229,A boy is drinking out of a water fountain shaped like a woman.,A sculptor takes a drink from a fountain that he made that looks like his girlfriend.,1,0,0
230,A boy is drinking out of a water fountain shaped like a woman.,A man is drinking lemonade from a glass.,2,0,0
231,three bikers stop in town.,cars stop in town,1,0,0
232,three bikers stop in town.,Bikers stop in towns,0,0,0
233,three bikers stop in town.,A town has witnessed the arrival of three bikers.,0,0,0
234,three bikers stop in town.,Thoes bikers are slowing down,1,0,0
235,three bikers stop in town.,The bikers are riding Harley's.,1,0,0
236,three bikers stop in town.,Three bikers are going 100 mph,2,0,0
237,three bikers stop in town.,The bikers breathe water,2,0,0
238,three bikers stop in town.,Bikers stop for gas,0,0,0
239,three bikers stop in town.,Three bicyclists are riding in a pack.,1,0,0
240,three bikers stop in town.,There is a very angry dog.,2,0,0
241,three bikers stop in town.,Three bikers are taking a rest in the town.,1,0,0
242,three bikers stop in town.,The bikers are in the town.,0,0,0
243,three bikers stop in town.,A group of bikers are in the street.,0,0,0
244,three bikers stop in town.,The bikers didn't stop in the town.,2,0,0
245,three bikers stop in town.,Five bikers are riding on the road.,2,0,0
246,Two people loading brush on a trailer attached to a truck.,A man is carrying a canoe to the water.,2,0,0
247,Two people loading brush on a trailer attached to a truck.,A couple of people are loading brush onto a trailer that is attached to a truck.,0,0,0
248,Two people loading brush on a trailer attached to a truck.,Two people loading brush on a trailer attached to a truck so they can go camping and burn it.,1,0,0
249,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man pulls a rope,0,0,0
250,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling a rope at work.,1,0,0
251,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man pulls on a rope.,0,0,0
252,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was on the job trying to move some equipment.,1,0,0
253,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man pulls his beard,2,0,0
254,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a bearded man is pulling a car with his teeth.,2,0,0
255,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",a man competes in a rope pulling contest,1,0,0
256,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is trying to pull his car out of a lake,1,0,0
257,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man was clean shaven.,2,0,0
258,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A bearded man is pulling on a rope.,0,0,0
259,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is dragging a sled behind him.,1,0,0
260,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.","A man in a swimsuit, swings on a rope.",2,0,0
261,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is wearing a black shirt,2,0,0
262,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",A man is pulling on a rope.,0,0,0
263,"A man with a beard, wearing a red shirt with gray sleeves and work gloves, pulling on a rope.",The man is able to grow a beard.,0,0,0
264,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is naked on the bed.,2,0,0
265,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man is wearing a red and gray shirt.,1,0,0
266,A man with facial hair and a red and gray shirt tugging on a piece of rope.,A man has facial hair.,0,0,0
267,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is watchingt v,2,0,0
268,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,A middle aged oriental woman in a green headscarf and blue shirt is flashing a giant smile,0,0,0
269,A middle-aged oriental woman in a green headscarf and blue shirt is flashing a giant smile.,The middle aged oriental woman is very happy,1,0,0
270,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is happy because she found money on the ground.,1,0,0
271,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is smiling at while another lady is rowing.,0,0,0
272,An Asian woman in a blue top and green headscarf smiling widely as another woman rows a boat in the background.,An Asian woman is running from a dog.,2,0,0
273,A boat worker securing line.,A worker is doing something to a boat.,0,0,0
274,A boat worker securing line.,The boat worker is swimming in the ocean.,2,0,0
275,A boat worker securing line.,The boat worker works hard to establish the line.,1,0,0
276,A small girl with a necklace is swimming.,A small girl with a necklace is swimming in a pool,1,0,0
277,A small girl with a necklace is swimming.,A fat girl is diving off the edge,2,0,0
278,A small girl with a necklace is swimming.,A small girl with a necklace is in the water,0,0,0
279,a skateboarder skates in the pool.,A skate swims in the pool.,2,0,0
280,a skateboarder skates in the pool.,A skater is in the pool.,0,0,0
281,a skateboarder skates in the pool.,A skater grinds on the lip of the pool.,1,0,0
282,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A man is wrapped in a UNICEF blanket.,2,0,0
283,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",A couple carrying a child are walking along water.,0,0,0
284,"A couple, who appear to be Indian or Pakistani, walk on a path beside a body of water, the mother carrying a child in a diaper, the father wrapped in a blanket with the logo of the humanitarian organization ""Save the Children.""",An Indian couple is seeking refuge with a humanitarian organization.,1,0,0
285,"There is a woman holding a baby, along with a man with a save the children bag.",A group of people are possing for an add.,0,0,0
286,"There is a woman holding a baby, along with a man with a save the children bag.",A man and a woman are hoding their son.,1,0,0
287,"There is a woman holding a baby, along with a man with a save the children bag.",A man is watching an airplane.,2,0,0
288,"A family with a baby, the father is wearing a save the children sign.",Three adults are pictured.,2,0,0
289,"A family with a baby, the father is wearing a save the children sign.",A man is wearing something with writing on it.,0,0,0
290,"A family with a baby, the father is wearing a save the children sign.",A woman is holding a baby.,1,0,0
291,A foreign family is walking along a dirt path next to the water.,they are riding a bike,2,0,55
292,A foreign family is walking along a dirt path next to the water.,People are walking next to a lake.,1,0,0
293,A foreign family is walking along a dirt path next to the water.,A foreigner group of cousins hike along a trail next to a stream.,1,0,0
294,A foreign family is walking along a dirt path next to the water.,A foreign family walks by a dirt trail along a body of water.,0,0,0
295,A foreign family is walking along a dirt path next to the water.,The family is admiring the water,0,0,0
296,A foreign family is walking along a dirt path next to the water.,The people are driving a car on the freeway.,2,0,0
297,A foreign family is walking along a dirt path next to the water.,A family of foreigners swims in the water.,2,0,0
298,A foreign family is walking along a dirt path next to the water.,they are trying not to fall in the water,1,0,0
299,A foreign family is walking along a dirt path next to the water.,A group of locals run on a dirt trail next to a frozen stream.,2,0,0
300,A foreign family is walking along a dirt path next to the water.,A family of foreigners walks by the water.,0,0,0
